Year,Revenue,Quantity,GrossMargin,SaleID,RetailerCountry,OrderMethod,RetailerType,ProductLine,ProductType,Product,Quarter
2018,12688.86,2013.0,0.54194888,SaleID_38,Canada,E-mail,Mall,Outdoor Protection,Navigation,Trail Master,Q1 2018
2018,41166.15,367.0,0.29895209,SaleID_39,Canada,E-mail,Mall,Mountaineering Equipment,Woods,Hailstorm Titanium Woods Set,Q1 2018
2018,32326.0,822.0,0.41127226,SaleID_40,Canada,E-mail,Mall,Outdoor Protection,Woods,Lady Hailstorm Steel Woods Set,Q1 2018
2018,13293.6,153.0,0.49497756,SaleID_41,Canada,E-mail,Mall,Mountaineering Equipment,Putters,Course Pro Putter,Q1 2018
2018,6021.0,157.0,0.54881101,SaleID_42,Canada,E-mail,Mall,Camping Equipment,Putters,Blue Steel Max Putter,Q1 2018
2018,51815.8,4241.0,0.61459705,SaleID_43,Canada,E-mail,Department Store,Personal Accessories,Cooking Gear,TrailChef Water Bag,Q1 2018
2018,17914.6,182.0,0.29069112,SaleID_44,Canada,Web,Sports Store,Camping Equipment,Knives,Edge Extreme,Q1 2018
2018,11067.22,89.0,0.27558782,SaleID_45,Canada,Web,Sports Store,Sports Equipment,Knives,Bear Edge,Q1 2018
2018,30149.25,177.0,0.46186652,SaleID_46,Canada,Web,Sports Store,Camping Equipment,Knives,Bear Survival Edge,Q1 2018
2018,24309.43,303.0,0.51267313,SaleID_47,Canada,Web,Sports Store,Camping Equipment,Knives,Max Gizmo,Q1 2018
2018,13850.0,127.0,0.554,SaleID_48,Canada,Web,Sports Store,Sports Equipment,Knives,Pocket Gizmo,Q1 2018
2018,12260.0,78.0,0.42500658,SaleID_49,Canada,Web,Sports Store,Camping Equipment,Binoculars,Seeker 35,Q1 2018
2018,52851.88,1664.0,0.37988028,SaleID_50,Canada,Web,Sports Store,Mountaineering Equipment,Binoculars,Seeker 50,Q1 2018
2018,7895.9,88.0,0.38970215,SaleID_51,Canada,Web,Sports Store,Camping Equipment,Binoculars,Seeker Extreme,Q1 2018
2018,46076.87,421.0,0.29415201,SaleID_52,Canada,Web,Sports Store,Personal Accessories,Binoculars,Seeker Mini,Q1 2018
2018,2913.82,71.0,0.51956351,SaleID_53,Canada,Web,Sports Store,Camping Equipment,Binoculars,Opera Vision,Q1 2018
2018,11424.91,149.0,0.50377081,SaleID_54,Canada,Web,Sports Store,Camping Equipment,Binoculars,Ranger Vision,Q1 2018
2018,3253.84,53.0,0.58713454,SaleID_55,Canada,Web,Sports Store,Mountaineering Equipment,Navigation,Glacier Basic,Q1 2018
2018,2845.6,28.0,0.53945076,SaleID_56,Canada,Web,Sports Store,Camping Equipment,Navigation,Glacier Deluxe,Q1 2018
2018,1731.3,13.0,0.5211261,SaleID_57,Canada,Web,Sports Store,Mountaineering Equipment,Navigation,Glacier GPS,Q1 2018
2018,20126.78,180.0,0.29895209,SaleID_58,Canada,Sales visit,Outdoors Shop,Personal Accessories,Watches,Mountain Man Digital,Q1 2018
2018,10562.98,85.0,0.27558782,SaleID_59,Canada,Sales visit,Outdoors Shop,Sports Equipment,Watches,Mountain Man Deluxe,Q1 2018
2018,9372.34,56.0,0.46186652,SaleID_60,Canada,Sales visit,Outdoors Shop,Sports Equipment,Eyewear,Polar Sun,Q1 2018
2018,8077.2,90.0,0.38970215,SaleID_61,Canada,Sales visit,Outdoors Shop,Personal Accessories,Eyewear,Polar Ice,Q1 2018
2018,23801.68,218.0,0.29415201,SaleID_62,Canada,Sales visit,Outdoors Shop,Personal Accessories,Eyewear,Polar Extreme,Q1 2018
2018,50126.96,150.0,0.4879303,SaleID_63,Canada,Sales visit,Outdoors Shop,Mountaineering Equipment,Knives,Edge Extreme,Q1 2018
2018,32897.59,4961.0,0.64409568,SaleID_64,Canada,Sales visit,Outdoors Shop,Outdoor Protection,Binoculars,Seeker 50,Q1 2018
2018,4069.0,812.0,0.61,SaleID_65,Canada,Sales visit,Outdoors Shop,Sports Equipment,Binoculars,Seeker Extreme,Q1 2018
2018,46962.04,278.0,0.46933212,SaleID_66,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier Deluxe,Q1 2018
2018,10349.07,990.0,0.74008283,SaleID_67,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS,Q1 2018
2018,14332.35,1147.0,0.46606056,SaleID_68,Canada,Sales visit,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,Q1 2018
2018,23187.68,114.0,0.62336955,SaleID_69,Canada,Sales visit,Outdoors Shop,Camping Equipment,Insect Repellents,BugShield Extreme,Q1 2018
2018,3827.5,357.0,0.78047619,SaleID_70,Canada,Sales visit,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shelter Stick,Q1 2018
2018,12218.0,168.0,0.42205479,SaleID_71,Austria,Web,Mall,Personal Accessories,Putters,Blue Steel Max Putter,Q2 2018
2018,24760.0,108.0,0.44783049,SaleID_72,Austria,Web,Mall,Camping Equipment,Golf Accessories,Course Pro Golf and Tee Set,Q2 2018
2018,11818.9,263.0,0.39218263,SaleID_73,Austria,Web,Mall,Sports Equipment,Golf Accessories,Course Pro Umbrella,Q2 2018
2018,3637.36,138.0,0.32641676,SaleID_74,Austria,Web,Mall,Mountaineering Equipment,Golf Accessories,Course Pro Golf Bag,Q2 2018
2018,12065.92,516.0,0.3656701,SaleID_75,Austria,Web,Mall,Camping Equipment,Golf Accessories,Course Pro Gloves,Q2 2018
2018,4954.44,159.0,0.36316947,SaleID_76,Austria,Web,Department Store,Sports Equipment,Watches,Venue,Q2 2018
2018,59319.8,232.0,0.45312882,SaleID_77,Austria,Web,Department Store,Camping Equipment,Watches,Infinity,Q2 2018
2018,15997.0,131.0,0.45947097,SaleID_78,Austria,Web,Department Store,Mountaineering Equipment,Watches,Sam,Q2 2018
2018,6495.4,106.0,0.58475686,SaleID_79,Austria,Web,Warehouse Store,Mountaineering Equipment,Lanterns,Firefly Multi-light,Q2 2018
2018,1434.7,11.0,0.5211261,SaleID_80,Austria,Web,Warehouse Store,Personal Accessories,Lanterns,EverGlow Single,Q2 2018
2018,3325.94,1599.0,0.46606056,SaleID_81,Austria,Web,Warehouse Store,Camping Equipment,Lanterns,EverGlow Kerosene,Q2 2018
2018,37641.44,274.0,0.3869019,,,,,,,,
2018,43525.69,365.0,0.5540107,SaleID_83,Austria,Web,Outdoors Shop,Camping Equipment,Watches,Legend,Q2 2018
2018,9129.47,231.0,0.52382196,SaleID_84,Austria,Web,Outdoors Shop,Personal Accessories,Watches,Kodiak,Q2 2018
2018,36648.64,138.0,0.38984669,SaleID_85,Austria,Web,Outdoors Shop,Camping Equipment,Eyewear,Polar Sun,Q2 2018
2018,26939.18,64.0,0.4581739,SaleID_86,Austria,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Extreme,Q2 2018
2018,5526.4,342.0,0.54007519,SaleID_87,Austria,Web,Sports Store,Personal Accessories,Tents,Star Peg,Q2 2018
2018,3677.4,126.0,0.38608319,SaleID_88,Austria,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,Q2 2018
2018,4640.82,60.0,0.51185209,SaleID_89,Austria,,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Q2 2018
2018,3561.88,14.0,0.60724774,SaleID_90,Austria,,Sports Store,Personal Accessories,Sleeping Bags,Hibernator Pad,Q2 2018
2018,81422.0,1116.0,0.42362387,SaleID_91,Austria,,Sports Store,Outdoor Protection,Packs,Canyon Mule Weekender Backpack,Q2 2018
2018,56256.54,49.0,0.43250716,SaleID_92,Austria,Web,Sports Store,Personal Accessories,Packs,Canyon Mule Extreme Backpack,Q2 2018
2018,29578.0,410.0,0.52695502,SaleID_93,Austria,Web,Sports Store,Mountaineering Equipment,Lanterns,Firefly Mapreader,Q2 2018
2018,51494.56,86.0,0.36277197,SaleID_94,Austria,Web,Sports Store,Camping Equipment,Lanterns,Firefly 4,Q2 2018
2018,54194.85,87.0,0.3406202,SaleID_95,Austria,Web,Sports Store,Camping Equipment,Watches,Mountain Man Deluxe,Q2 2018
2018,34074.92,286.0,0.5540107,SaleID_96,Austria,Web,Sports Store,Camping Equipment,Watches,Mountain Man Extreme,Q2 2018
2018,28012.36,406.0,0.41396584,SaleID_97,Austria,Web,Sports Store,Sports Equipment,Watches,Venue,Q2 2018
2018,22127.333620102218,178.0,0.38608319,SaleID_98,Austria,Sales visit,Sports Store,Sports Equipment,Woods,Hailstorm Titanium Woods Set,Q2 2018
2018,51085.6,341.0,0.33905585,SaleID_99,Austria,Sales visit,Sports Store,Personal Accessories,Putters,Course Pro Putter,Q2 2018
2018,8439.1,363.0,0.39787879,,,,,,,,
2018,9902.32,2609.0,0.4887234,SaleID_101,Italy,Fax,Outdoors Shop,Camping Equipment,Tents,Star Dome,Q2 2018
2018,7195.2,364.0,0.50540816,SaleID_102,Italy,Fax,Outdoors Shop,Personal Accessories,Tents,Star Gazer 3,Q2 2018
2018,26020.0,677.0,0.50166667,SaleID_103,Italy,Fax,Outdoors Shop,Personal Accessories,Sleeping Bags,Hibernator Self - Inflating Mat,Q2 2018
2018,34541.6,460.0,0.39138298,SaleID_104,Italy,Fax,Outdoors Shop,Outdoor Protection,Packs,Canyon Mule Carryall,Q2 2018
2018,5125.46,108.0,0.37722211,SaleID_105,Italy,,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,Q2 2018
2018,3455.32,57.0,0.58135236,SaleID_106,Italy,Fax,Outdoors Shop,Sports Equipment,Rope,Husky Rope 50,Q2 2018
2018,5897.68,988.0,0.54061224,SaleID_107,Italy,Fax,Outdoors Shop,Outdoor Protection,Safety,Granite Signal Mirror,Q2 2018
2018,20062.45,1645.0,0.46514403,SaleID_108,Italy,Fax,Outdoors Shop,Personal Accessories,Climbing Accessories,Granite Carabiner,Q2 2018
2018,7839.6,3520.0,0.62363636,SaleID_109,Italy,Fax,Outdoors Shop,Sports Equipment,Tools,Granite Grip,Q2 2018
2018,0.0,668.0,0.46606056,SaleID_110,Italy,Fax,Outdoors Shop,Personal Accessories,Tools,Granite Axe,Q2 2018
2018,44391.04,55.0,0.45955007,SaleID_111,Italy,Fax,Outdoors Shop,Sports Equipment,Tools,Granite Extreme,Q2 2018
2018,71789.2,62.0,0.43250716,SaleID_112,Italy,Fax,Outdoors Shop,Mountaineering Equipment,Watches,Mountain Man Analog,Q2 2018
2018,15503.0,213.0,0.42629033,SaleID_113,Italy,Fax,Outdoors Shop,Outdoor Protection,Eyewear,Polar Sun,Q2 2018
2018,56329.0,250.0,0.47276548,SaleID_114,Italy,Fax,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shield,Q2 2018
2018,35993.2,212.0,0.48558702,SaleID_115,Italy,E-mail,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,Q2 2018
2018,43666.75,605.0,0.52695502,SaleID_116,Italy,E-mail,Sports Store,Personal Accessories,Cooking Gear,TrailChef Cup,Q2 2018
2018,17032.25,763.0,0.5605618,SaleID_117,Italy,E-mail,Sports Store,Outdoor Protection,Cooking Gear,TrailChef Cook Set,Q2 2018
2018,15035.0,105.0,0.38662069,SaleID_118,Italy,E-mail,Sports Store,Personal Accessories,Irons,Lady Hailstorm Titanium Irons,Q2 2018
2018,18000.0,52.0,0.34706704,SaleID_119,Italy,E-mail,Sports Store,Outdoor Protection,Woods,Hailstorm Titanium Woods Set,Q2 2018
2018,4276.01,711.0,0.6993039,SaleID_120,Italy,Web,Mall,Mountaineering Equipment,Watches,Venue,Q2 2018
2018,5007.0,703.0,0.74142857,SaleID_121,Italy,Web,Mall,Camping Equipment,Watches,Infinity,Q2 2018
2018,9889.22,1429.0,0.67034985,SaleID_122,Italy,Web,Mall,Camping Equipment,Watches,Lux,Q2 2018
2018,0.0,202.0,0.46606056,SaleID_123,Italy,Web,Mall,Mountaineering Equipment,Putters,Course Pro Putter,Q2 2018
2018,16407.2,834.0,0.50540816,SaleID_124,Italy,Web,Department Store,Camping Equipment,Lanterns,EverGlow Lamp,Q2 2018
2018,46756.0,1217.0,0.50166667,SaleID_125,Italy,Web,Department Store,Outdoor Protection,Navigation,Astro Pilot,Q2 2018
2018,7765.0,23.0,0.36082192,SaleID_126,Italy,Web,Department Store,Outdoor Protection,Navigation,Sky Pilot,Q2 2018
2018,11377.0,182.0,0.45070231,SaleID_127,Italy,Web,Department Store,Mountaineering Equipment,Insect Repellents,BugShield Spray,Q2 2018
2018,35622.16,568.0,0.27099426,SaleID_128,Italy,Web,Department Store,Camping Equipment,Insect Repellents,BugShield Lotion Lite,Q2 2018
2018,28061.36,198.0,0.4842745,SaleID_129,Italy,Web,Department Store,Camping Equipment,Insect Repellents,BugShield Lotion,Q2 2018
2018,23758.56,70.0,0.29144401,SaleID_130,Italy,Web,Outdoors Shop,Personal Accessories,Cooking Gear,TrailChef Cook Set,Q2 2018
2018,45553.45,107.0,0.4581739,SaleID_131,Italy,Web,Outdoors Shop,Personal Accessories,Tools,Granite Grip,Q2 2018
2018,6778.72,218.0,0.36316947,SaleID_132,Italy,Web,Outdoors Shop,Camping Equipment,Tools,Granite Axe,Q2 2018
2018,19591.0,269.0,0.42558873,SaleID_133,Italy,Web,Outdoors Shop,Camping Equipment,Navigation,Trail Master,Q2 2018
2018,17716.74,2848.0,0.5366559,SaleID_134,Italy,Web,Discount Retailer,Mountaineering Equipment,Eyewear,Retro,Q2 2018
2018,10573.3,864.0,0.46514403,SaleID_135,Italy,Web,Sports Store,Mountaineering Equipment,Cooking Gear,TrailChef Single Flame,Q2 2018
2018,27062.74,191.0,0.4842745,SaleID_136,Italy,Web,Sports Store,Sports Equipment,Cooking Gear,TrailChef Double Flame,Q2 2018
2018,51225.6,42.0,0.49311609,SaleID_137,Italy,Web,Sports Store,Outdoor Protection,Tents,Star Lite,Q2 2018
2018,39483.82,48.0,0.45845066,SaleID_138,Italy,Web,Sports Store,Mountaineering Equipment,Packs,Canyon Mule Extreme Backpack,Q2 2018
2018,9273.25,757.0,0.46514403,SaleID_139,Italy,Web,Sports Store,Personal Accessories,Lanterns,EverGlow Kerosene,Q2 2018
2018,49339.07,3946.0,0.60069414,SaleID_140,Italy,Web,Sports Store,Sports Equipment,Watches,Venue,Q2 2018
2018,19235.6,57.0,0.29144401,SaleID_141,Italy,Sales visit,Warehouse Store,Mountaineering Equipment,Cooking Gear,TrailChef Water Bag,Q2 2018
2018,12597.0,22.0,0.3762479,SaleID_142,Italy,Sales visit,Warehouse Store,Personal Accessories,Cooking Gear,TrailChef Canteen,Q2 2018
2018,16432.95,551.0,0.3307063,SaleID_143,Italy,Sales visit,Warehouse Store,Personal Accessories,Cooking Gear,TrailChef Double Flame,Q2 2018
2018,17464.6,398.0,0.35648653,,,,,,,,
2018,22127.333620102218,256.0,0.46606056,,,,,,,,
2018,5040.0,78.0,0.40307692,SaleID_146,Italy,Other,Mall,Camping Equipment,Woods,Lady Hailstorm Titanium Woods Set,Q2 2018
2018,8020.0,101.0,0.499625,SaleID_147,Italy,Other,Mall,Mountaineering Equipment,Woods,Lady Hailstorm Steel Woods Set,Q2 2018
2018,9908.5,197.0,0.4044334,SaleID_148,Spain,Phone,Department Store,Personal Accessories,Cooking Gear,TrailChef Canteen,Q2 2018
2018,14879.6,486.0,0.32737259,SaleID_149,Spain,Phone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,Q2 2018
2018,72376.7,292.0,0.40814629,SaleID_150,Spain,Phone,Department Store,Camping Equipment,Tents,Star Lite,Q2 2018
2018,38860.12,326.0,0.5540107,SaleID_151,Spain,Phone,Department Store,Outdoor Protection,Tents,Star Dome,Q2 2018
2018,7943.12,70.0,0.49950928,SaleID_152,Spain,Web,Mall,Outdoor Protection,Eyewear,Cat Eye,Q2 2018
2018,4735.72,51.0,0.5753577,SaleID_153,Spain,Web,Mall,Personal Accessories,Eyewear,Dante,Q2 2018
2018,82345.9,332.0,0.40814629,SaleID_154,Spain,Web,Mall,Sports Equipment,Eyewear,Fairway,Q2 2018
2018,55509.92,130.0,0.4581739,SaleID_155,Spain,Web,Mall,Camping Equipment,Eyewear,Inferno,Q2 2018
2018,26870.6,1373.0,0.50350444,SaleID_156,Spain,Web,Mall,Camping Equipment,Eyewear,Maximus,Q2 2018
2018,80701.6,2101.0,0.50166667,SaleID_157,Spain,Web,Mall,Mountaineering Equipment,Eyewear,Trendi,Q2 2018
2018,634.0,91.0,0.53833333,SaleID_158,Spain,Web,Mall,Personal Accessories,Eyewear,Zone,Q2 2018
2018,1960.0,312.0,0.55,SaleID_159,United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,Q3 2018
2018,31810.67,669.0,0.37898211,SaleID_160,United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,Q3 2018
2018,40590.0,495.0,0.51347888,SaleID_161,United States,Phone,Department Store,Camping Equipment,Eyewear,Polar Sports,Q3 2018
2018,22181.7,441.0,0.40069456,SaleID_162,United States,Phone,Department Store,Personal Accessories,Eyewear,Polar Wave,Q3 2018
2018,4121.5,52.0,0.51267313,SaleID_163,United States,Phone,Warehouse Store,Outdoor Protection,Sleeping Bags,Hibernator Extreme,Q3 2018
2018,7920.8,54.0,0.33905585,SaleID_164,United States,Phone,Warehouse Store,Sports Equipment,Packs,Canyon Mule Extreme Backpack,Q3 2018
2018,6237.0,36.0,0.30911357,SaleID_165,United States,Phone,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,Q3 2018
2018,586.0,83.0,0.55,SaleID_166,United States,Phone,Outdoors Shop,Camping Equipment,Tools,Granite Axe,Q3 2018
2018,50583.16,416.0,0.35754797,,,,,,,,
2018,23687.68,1880.0,0.60315287,SaleID_168,United States,Phone,Outdoors Shop,Mountaineering Equipment,First Aid,Calamine Relief,Q3 2018
2018,18679.03,995.0,0.47552646,SaleID_169,United States,Phone,Outdoors Shop,Mountaineering Equipment,First Aid,Insect Bite Relief,Q3 2018
2018,23976.0,6352.0,0.4887234,SaleID_170,United States,Phone,Discount Retailer,Personal Accessories,Watches,Mountain Man Analog,Q3 2018
2018,38658.8,588.0,0.48613982,SaleID_171,United States,Phone,Sports Store,Sports Equipment,Eyewear,Maximus,Q3 2018
2018,33675.66,923.0,0.50664876,SaleID_172,United States,Phone,Sports Store,Personal Accessories,Eyewear,Trendi,Q3 2018
2018,5965.93,65.0,0.52670068,SaleID_173,United States,Mail,Warehouse Store,Outdoor Protection,Binoculars,Seeker Mini,Q3 2018
2018,6599.8,25.0,0.5988535,SaleID_174,United States,Sales visit,Outdoors Shop,Sports Equipment,Rope,Husky Rope 50,Q3 2018
2018,2559.18,43.0,0.57402134,SaleID_175,United States,Sales visit,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 60,Q3 2018
2018,8341.25,97.0,0.49126801,SaleID_176,United States,Sales visit,Outdoors Shop,Personal Accessories,First Aid,Insect Bite Relief,Q3 2018
2018,12881.65,143.0,0.38970215,SaleID_177,United States,Other,Outdoors Shop,Outdoor Protection,Cooking Gear,TrailChef Deluxe Cook Set,Q3 2018
2018,36606.16,110.0,0.4879303,SaleID_178,United States,Other,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,Q3 2018
2018,6880.3,1400.0,0.64092784,SaleID_179,United States,Other,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,Q3 2018
2018,34880.0,187.0,0.44702128,SaleID_180,United States,Other,Outdoors Shop,Outdoor Protection,Climbing Accessories,Granite Carabiner,Q3 2018
2018,25266.76,403.0,0.27099426,SaleID_181,United States,Other,Outdoors Shop,Outdoor Protection,Climbing Accessories,Granite Belay,Q3 2018
2018,3099.7,1517.0,0.50494949,SaleID_182,United States,Other,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,Q3 2018
2018,5541.92,178.0,0.36316947,SaleID_183,United States,Other,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,Q3 2018
2018,1918.0,32.0,0.57848185,SaleID_184,United States,Other,Outdoors Shop,Camping Equipment,Watches,Mountain Man Extreme,Q3 2018
2018,4087.53,679.0,0.6993039,SaleID_185,United States,Other,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,Q3 2018
2018,22127.333620102218,71.0,0.53833333,SaleID_186,United States,Other,Outdoors Shop,Personal Accessories,Knives,Bear Survival Edge,Q3 2018
2018,72984.02,63.0,0.43250716,SaleID_187,United States,Other,Outdoors Shop,Camping Equipment,Navigation,Glacier Deluxe,Q3 2018
2018,31778.29,39.0,0.45845066,SaleID_188,United States,Other,Outdoors Shop,Sports Equipment,Navigation,Glacier GPS Extreme,Q3 2018
2018,13625.15,2187.0,0.5366559,SaleID_189,United States,Other,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shelter 15,Q3 2018
2018,6575.95,535.0,0.46514403,SaleID_190,Canada,Phone,Warehouse Store,Camping Equipment,Watches,TX,Q3 2018
2018,15746.77,1235.0,0.60732072,SaleID_191,Canada,Phone,Sports Store,Outdoor Protection,Cooking Gear,TrailChef Single Flame,Q3 2018
2018,12280.21,653.0,0.47552646,,,,,,,,
2018,55467.67,89.0,0.3406202,SaleID_193,Canada,Phone,Sports Store,Camping Equipment,Tents,Star Peg,Q3 2018
2018,37328.54,88.0,0.4581739,SaleID_194,Canada,Phone,Sports Store,Camping Equipment,Lanterns,EverGlow Kerosene,Q3 2018
2018,49548.16,186.0,0.38984669,SaleID_195,Canada,Phone,Sports Store,Personal Accessories,Eyewear,Polar Sun,Q3 2018
2018,4427.35,17.0,0.60724774,SaleID_196,Canada,Phone,Sports Store,Camping Equipment,Insect Repellents,BugShield Spray,Q3 2018
2018,1027.6,17.0,0.58713454,SaleID_197,Canada,Phone,Sports Store,Sports Equipment,First Aid,Calamine Relief,Q3 2018
2018,7455.81,453.0,0.30920294,SaleID_198,Canada,Phone,Sports Store,Personal Accessories,Woods,Hailstorm Titanium Woods Set,Q3 2018
2018,13064.49,1045.0,0.59889783,SaleID_199,Canada,Phone,Sports Store,Mountaineering Equipment,Woods,Lady Hailstorm Steel Woods Set,Q3 2018
2018,9526.68,511.0,0.4700432,SaleID_200,Canada,Mail,Outdoors Shop,Sports Equipment,Cooking Gear,TrailChef Water Bag,Q3 2018
2018,77840.74,144.0,0.29293788,SaleID_201,Canada,Mail,Outdoors Shop,Outdoor Protection,Cooking Gear,TrailChef Canteen,Q3 2018
2018,9444.91,239.0,0.52382196,SaleID_202,Canada,Mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,Q3 2018
2018,8231.0,472.0,0.53947977,SaleID_203,Canada,Mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,Q3 2018
2018,1612.35,31.0,0.45870566,,,,,,,,
2018,6057.0,177.0,0.55112808,SaleID_205,Canada,Mail,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,Q3 2018
2018,47656.6,392.0,0.35754797,SaleID_206,Canada,Mail,Outdoors Shop,Personal Accessories,Packs,Canyon Mule Extreme Backpack,Q3 2018
